Reference, Quantity, Value, Footprint, Datasheet
C14 C10 C15 C11 C16 C9 C12 C13 C8 ,9,"1uF","Capacitor_SMD:C_0805_2012Metric","~"
C2 C1 ,2,"30pF","Capacitor_SMD:C_0805_2012Metric","~"
C5 C7 C17 C3 ,4,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~"
C6 C4 ,2,"4.7uF","Capacitor_SMD:C_0805_2012Metric","~"
D1 ,1,"D","Diode_SMD:D_SOD-323_HandSoldering","~"
DS1 ,1,"DOGM128-6","CALCKS:LCD_DOGM128-6",""
H1 H2 H3 H4 H5 ,5,"MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","~"
J2 ,1,"Conn_02x03_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J3 J4 ,2,"Conn_01x01_Male","Connector_Wire:SolderWirePad_1x01_Drill1.2mm","~"
J5 ,1,"Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
R1 ,1,"3.3k","Resistor_SMD:R_0805_2012Metric","~"
R6 R5 R4 R7 R3 ,5,"220","Resistor_SMD:R_0805_2012Metric","~"
SW6 SW13 SW20 SW27 SW34 SW7 SW14 SW21 SW28 SW35 SW8 SW15 SW22 SW29 SW36 SW9 SW16 SW23 SW30 SW37 SW10 SW17 SW24 SW31 SW38 SW11 SW18 SW25 SW32 SW39 SW12 SW19 SW26 SW40 SW1 SW2 SW3 SW4 SW5 SW33 ,40,"SW_Push_Dual","Downloaded Footprints:SW_TL3301SPF260QG","~"
U1 ,1,"ATmega1284-AU","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf"
U2 ,1,"MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
U3 ,1,"AT24CS64-SSHM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf"
U4 ,1,"74HC164","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT164.pdf"
Y1 ,1,"8MHz","Crystal:Crystal_SMD_HC49-SD","~"